buildingID,buildingName,country,locationID,locationName,postalCode,street,longitude,latitude,geoLink,portalLink
ADL20,Regus Virtual Office,AUSTRALIA,ADL,Adelaide,5000,25 Grenfell Street,138.60084,-34.9247869,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-34.9247869 138.60084&z=16&iwloc=A,https://go.sap.corp/ADL20
BNE03,Office-140 Creek Street,AUSTRALIA,BNE,Brisbane,4000,140 Creek Street,153.0274374,-27.4661287,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-27.4661287 153.0274374&z=16&iwloc=A,https://go.sap.corp/nej
CBR02,Equinox 4,AUSTRALIA,CBR,Canberra,2600,70 Kent Street,149.097188,-35.32092,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-35.320920 149.097188&z=16&iwloc=A,https://go.sap.corp/nww
CBR45,Braddon (Qualitrics),AUSTRALIA,CBR,Canberra,2612,22 Lonsdale Street,149.13317,-35.272765,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-35.272765 149.13317&z=16&iwloc=A,
MEL02,484 St. Kilda Road,AUSTRALIA,MEL,Melbourne,3004,484 St. Kilda Road,144.977283,-37.843228,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-37.843228 144.977283&z=16&iwloc=A,https://go.sap.corp/MEL02Melbourne
MEL03,474 St. Kilda Road,AUSTRALIA,MEL,Melbourne,3004,474 St. Kilda Road,"14,497,638,888","-3,784,138,891",http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-37.84138891 144.97638888&z=16&iwloc=A,
MEL80,East Melbourne (CallidusCloud),AUSTRALIA,MEL,Melbourne,3002,8/176 Wellington Parade,144.984237,-37.816062,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-37.816062 144.984237&z=16&iwloc=A,
PER04,109 St. George's Terrace,AUSTRALIA,PER,Perth,6000,109 St. George's Terrace,115.8565664,-31.9550817,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-31.9550817 115.856566400&z=16&iwloc=A,https://go.sap.corp/PER04
SYD21,77 Berry Street - no lease interim for SYD03,AUSTRALIA,SYD,Sydney,2060,77 Berry Street,"1,512,082,271","-338,380,416",http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-33.8380416 151.2082271&z=16&iwloc=A,https://go.sap.corp/SYD21
SYD45,225 George Street (Qualtrics),AUSTRALIA,SYD,Sydney,2000,225 George Street,151.207112,-33.862898,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-33.862898 151.207112&z=16&iwloc=A,
SYD46,50 Pitt Street (Qualtrics),AUSTRALIA,SYD,Sydney,2000,50 Pitt Street,151.209308,-33.863267,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-33.863267 151.209308&z=16&iwloc=A,
SYD85,123 Epping Road (Concur),AUSTRALIA,SYD,Sydney,2113,"Suite 402, 123 Epping Road",151.11823,-33.78422,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=-33.78422 151.11823&z=16&iwloc=A,
BJG07,World Profit Center,CHINA,BJG,Beijing,100125,16 Tianze Road,116.471479,39.955305,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=39.955305 116.471479&z=16&iwloc=A,https://go.sap.corp/nwy
BJG20,"Ruan Lian, 5F",CHINA,BJG,Beijing,100088,Shen Chang Building,116.33609,39.977205,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=39.977205, 116.336090&z=16&iwloc=A",
BJG21,Regus Office for CHC,CHINA,BJG,Beijing,100080,No.2 Dongsan Street,116.306575,39.9790472,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=39.9790472 116.306575&z=16&iwloc=A,
CTU02,"E5 TFSP, Middle Tianfu Ave",CHINA,CTU,Chengdu,610041,"Blg 2, 1366 Middle Tianfu Ave",104.068307,30.538056,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=30.538056, 104.068307&z=16&iwloc=A  ",https://go.sap.corp/o3q
CTU03,YaaS Labs,CHINA,CTU,Chengdu,610041,No. 599 South Shiji City Road,104.0714277,30.542719,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=30.542719, 104.0714277&z=16&iwloc=A",
DLN02,International Inform. Service Center,CHINA,DLN,Dalian,116023,"No 269 Wuyi Road, Shahekou dis",121.547033,38.887033,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=38.887033, 121.547033&z=16&iwloc=A",https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://86ee9f3b9c9ff205f8bd1198df96816c
DLN03,17# DLSP,CHINA,DLN,Dalian,116021,#269 Wuyi Road / 17# DLSP,121.548594,38.887094,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=38.887094, 121.548594&z=16&iwloc=A",https://go.sap.corp/dln03
GZU02,K11,CHINA,GZU,Guangzhou,510613,5701 No.6 Zhujiang East Road,113.332952,23.123892,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=23.123892 113.332952&z=16&iwloc=A,
HKG02,"Timesquare - Tower Two , 35th Floor",CHINA,HKG,Hong Kong,,1 Matheson Street - Causeway Bay,114.182493,22.278318,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=22.278318 114.182493&z=16&iwloc=A,https://go.sap.corp/nwz
HKG20,Lee Garden One,CHINA,HKG,Hong Kong,,33 Hysan Avenue,114.18459,22.280368,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=22.280368 114.184592&z=16&iwloc=A,
JNA20,Luneng International Centre,CHINA,JNA,Jinan,250022,No. 2666 2nd Ring South Road,116.984439,36.614036,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=36.614036 116.984439&z=16&iwloc=A,
